行为时间,view_duration,tp_video_view
2023-11-29 00:00:00,250.645,0
2023-11-29 00:00:00,250.818,0
2023-11-29 00:00:00,251.347,0
2023-11-29 00:00:00,251.462,0
2023-11-29 00:00:00,251.482,0
2023-11-29 00:00:00,251.57,0
2023-11-29 00:00:00,252,0
2023-11-29 00:00:00,252.014,0
2023-11-29 00:00:00,252.581,0
2023-11-29 00:00:00,253.181,0
2023-11-29 00:00:00,253.381,0
2023-11-29 00:00:00,253.572,0
2023-11-29 00:00:00,253.781,0
2023-11-29 00:00:00,254,0
2023-11-29 00:00:00,255,0
2023-11-29 00:00:00,257,0
2023-11-29 00:00:00,258,0
2023-11-29 00:00:00,259.437,0
2023-11-29 00:00:00,260,0
2023-11-29 00:00:00,261.039,0
2023-11-29 00:00:00,262.697,0
2023-11-29 00:00:00,262.785,0
2023-11-29 00:00:00,263.461,0
2023-11-29 00:00:00,263.747,0
2023-11-29 00:00:00,264.514,0
2023-11-29 00:00:00,265,0
2023-11-29 00:00:00,267,0
2023-11-29 00:00:00,268,0
2023-11-29 00:00:00,269,0
2023-11-29 00:00:00,27.618,0
2023-11-29 00:00:00,27.802,0
2023-11-29 00:00:00,270.606,0
2023-11-29 00:00:00,274,0
2023-11-29 00:00:00,274.863,0
2023-11-29 00:00:00,275,0
2023-11-29 00:00:00,276.138,0
2023-11-29 00:00:00,276.846,0
2023-11-29 00:00:00,278,0
2023-11-29 00:00:00,28.852,0
2023-11-29 00:00:00,283,0
2023-11-29 00:00:00,284,0
2023-11-29 00:00:00,286.105,0
2023-11-29 00:00:00,2867,0
2023-11-29 00:00:00,289.353,0
2023-11-29 00:00:00,29,0
2023-11-29 00:00:00,29.122,0
2023-11-29 00:00:00,293,0
2023-11-29 00:00:00,297.082,0
2023-11-29 00:00:00,298,0
2023-11-29 00:00:00,298.338,0
2023-11-29 00:00:00,3.043,1
2023-11-29 00:00:00,3.123,0
2023-11-29 00:00:00,3.164,0
2023-11-29 00:00:00,3.202,0
2023-11-29 00:00:00,3.279,0
2023-11-29 00:00:00,3.29,0
2023-11-29 00:00:00,3.309,0
2023-11-29 00:00:00,3.479,0
2023-11-29 00:00:00,3.541,0
2023-11-29 00:00:00,3.559,0
2023-11-29 00:00:00,3.616,0
2023-11-29 00:00:00,3.629,0
2023-11-29 00:00:00,3.668,0
2023-11-29 00:00:00,3.838,0
2023-11-29 00:00:00,3.905,0
2023-11-29 00:00:00,3.919,0
2023-11-29 00:00:00,3.981,0
2023-11-29 00:00:00,30.804,0
2023-11-29 00:00:00,30.909,0
2023-11-29 00:00:00,300,0
2023-11-29 00:00:00,301,0
2023-11-29 00:00:00,301.583,1
2023-11-29 00:00:00,301.833,1
2023-11-29 00:00:00,302,0
2023-11-29 00:00:00,303,0
2023-11-29 00:00:00,303.002,0
2023-11-29 00:00:00,310.678,0
2023-11-29 00:00:00,311.275,0
2023-11-29 00:00:00,311.642,0
2023-11-29 00:00:00,312.757,0
2023-11-29 00:00:00,313.44,0
2023-11-29 00:00:00,313.924,0
2023-11-29 00:00:00,314.357,0
2023-11-29 00:00:00,317.053,0
2023-11-29 00:00:00,317.623,0
2023-11-29 00:00:00,317.807,0
2023-11-29 00:00:00,318.678,0
2023-11-29 00:00:00,319.741,0
2023-11-29 00:00:00,320,0
2023-11-29 00:00:00,320.011,0
2023-11-29 00:00:00,320.761,0
2023-11-29 00:00:00,323.483,0
2023-11-29 00:00:00,324.191,0
2023-11-29 00:00:00,324.3,0
2023-11-29 00:00:00,325.212,0
2023-11-29 00:00:00,325.499,0
2023-11-29 00:00:00,326.167,0
2023-11-29 00:00:00,326.696,0
2023-11-29 00:00:00,327.663,0
2023-11-29 00:00:00,328.697,0
2023-11-29 00:00:00,329,0
2023-11-29 00:00:00,329.297,0
2023-11-29 00:00:00,329.42,0
2023-11-29 00:00:00,329.815,0
2023-11-29 00:00:00,329.941,0
2023-11-29 00:00:00,33,0
2023-11-29 00:00:00,33.399,0
2023-11-29 00:00:00,33.512,0
2023-11-29 00:00:00,330,0
2023-11-29 00:00:00,330.048,0
2023-11-29 00:00:00,330.299,0
2023-11-29 00:00:00,330.799,0
2023-11-29 00:00:00,331.465,0
2023-11-29 00:00:00,331.706,0
2023-11-29 00:00:00,331.84,0
2023-11-29 00:00:00,331.93,1
2023-11-29 00:00:00,332,0
2023-11-29 00:00:00,332.118,0
2023-11-29 00:00:00,332.982,0
2023-11-29 00:00:00,333,0
2023-11-29 00:00:00,333.238,1
2023-11-29 00:00:00,334,0
2023-11-29 00:00:00,334.198,0
2023-11-29 00:00:00,334.229,0
2023-11-29 00:00:00,334.915,0
2023-11-29 00:00:00,335.099,0
2023-11-29 00:00:00,335.583,0
2023-11-29 00:00:00,336.181,0
2023-11-29 00:00:00,336.815,0
2023-11-29 00:00:00,337.171,0
2023-11-29 00:00:00,337.572,0
2023-11-29 00:00:00,338.189,0
2023-11-29 00:00:00,339.537,0
2023-11-29 00:00:00,341.8,0
2023-11-29 00:00:00,341.842,0
2023-11-29 00:00:00,343.328,0
2023-11-29 00:00:00,344.095,0
2023-11-29 00:00:00,344.454,0
2023-11-29 00:00:00,345,0
2023-11-29 00:00:00,345.303,0
2023-11-29 00:00:00,345.424,0
2023-11-29 00:00:00,345.841,0
2023-11-29 00:00:00,346,0
2023-11-29 00:00:00,35.278,0
2023-11-29 00:00:00,35.811,0
2023-11-29 00:00:00,352,0
2023-11-29 00:00:00,353.639,0
2023-11-29 00:00:00,354.567,0
2023-11-29 00:00:00,354.888,0
2023-11-29 00:00:00,357.362,0
2023-11-29 00:00:00,358.989,0
2023-11-29 00:00:00,36.378,0
2023-11-29 00:00:00,36.995,0
2023-11-29 00:00:00,362.016,0
2023-11-29 00:00:00,36223,0
2023-11-29 00:00:00,364.816,1
2023-11-29 00:00:00,37.999,0
2023-11-29 00:00:00,370,0
2023-11-29 00:00:00,372.024,0
2023-11-29 00:00:00,373.855,0
2023-11-29 00:00:00,374,0
2023-11-29 00:00:00,374.434,0
2023-11-29 00:00:00,375.137,0
2023-11-29 00:00:00,375.938,0
2023-11-29 00:00:00,376.387,0
2023-11-29 00:00:00,377.341,0
2023-11-29 00:00:00,377.536,0
2023-11-29 00:00:00,378.707,0
2023-11-29 00:00:00,379.275,0
2023-11-29 00:00:00,38.214,0
2023-11-29 00:00:00,380.385,0
2023-11-29 00:00:00,381.218,0
2023-11-29 00:00:00,381.615,0
2023-11-29 00:00:00,382.507,0
2023-11-29 00:00:00,382.546,0
2023-11-29 00:00:00,3826,0
2023-11-29 00:00:00,383.051,0
2023-11-29 00:00:00,383.169,0
2023-11-29 00:00:00,383.809,1
2023-11-29 00:00:00,384.198,0
2023-11-29 00:00:00,384.432,0
2023-11-29 00:00:00,384.519,1
2023-11-29 00:00:00,384.634,0
2023-11-29 00:00:00,384.728,0
2023-11-29 00:00:00,385.177,1
2023-11-29 00:00:00,385.617,0
2023-11-29 00:00:00,385.774,0
2023-11-29 00:00:00,385.816,1
2023-11-29 00:00:00,386.285,1
2023-11-29 00:00:00,386.636,0
2023-11-29 00:00:00,386.7,0
2023-11-29 00:00:00,386.836,1
2023-11-29 00:00:00,387.02,0
2023-11-29 00:00:00,387.25,0
2023-11-29 00:00:00,387.417,0
2023-11-29 00:00:00,387.583,0
2023-11-29 00:00:00,387.657,0
2023-11-29 00:00:00,387.847,0
2023-11-29 00:00:00,387.876,0
2023-11-29 00:00:00,388.084,0
2023-11-29 00:00:00,388.384,0
2023-11-29 00:00:00,388.478,0
2023-11-29 00:00:00,389.495,0
2023-11-29 00:00:00,389.811,0
2023-11-29 00:00:00,389.856,0
2023-11-29 00:00:00,39,0
2023-11-29 00:00:00,39.052,0
2023-11-29 00:00:00,391.998,0
2023-11-29 00:00:00,392.398,0
2023-11-29 00:00:00,392.723,0
2023-11-29 00:00:00,393.088,0
2023-11-29 00:00:00,394.237,0
2023-11-29 00:00:00,394.887,0
2023-11-29 00:00:00,3945,0
2023-11-29 00:00:00,395.103,0
2023-11-29 00:00:00,395.303,0
2023-11-29 00:00:00,396.675,0
2023-11-29 00:00:00,396.941,0
2023-11-29 00:00:00,397,0
2023-11-29 00:00:00,397.341,0
2023-11-29 00:00:00,398,0
2023-11-29 00:00:00,398.582,0
2023-11-29 00:00:00,4.077,0
2023-11-29 00:00:00,4.258,0
2023-11-29 00:00:00,4.284,0
2023-11-29 00:00:00,4.296,0
2023-11-29 00:00:00,4.321,0
2023-11-29 00:00:00,4.398,0
2023-11-29 00:00:00,4.456,0
2023-11-29 00:00:00,4.464,0
2023-11-29 00:00:00,4.482,0
2023-11-29 00:00:00,4.518,0
2023-11-29 00:00:00,4.7,0
2023-11-29 00:00:00,4.8,0
2023-11-29 00:00:00,4.916,0
2023-11-29 00:00:00,4.952,0
2023-11-29 00:00:00,400.198,0
2023-11-29 00:00:00,400.441,0
2023-11-29 00:00:00,400.781,0
2023-11-29 00:00:00,401,0
2023-11-29 00:00:00,401.266,0
2023-11-29 00:00:00,401.335,1
2023-11-29 00:00:00,401.338,0
2023-11-29 00:00:00,401.414,0
2023-11-29 00:00:00,401.643,0
2023-11-29 00:00:00,401.824,0
2023-11-29 00:00:00,401.848,0
2023-11-29 00:00:00,401.951,0
2023-11-29 00:00:00,402.323,0
2023-11-29 00:00:00,402.329,0
2023-11-29 00:00:00,402.834,0
